tender_id,tenderguru_card_id,tender_name,customer,sphere,sphere_label,confidence,evidence,secondary_spheres,needs_review,model,source,classified_at
"0372100047626000120","94547217","Поставка программно-аппаратного комплекса, адаптированного для внедрения системы поддержки принятия врачебных решений в области отоларингологии на основе ИИ для анализа КТ-изображений внутреннего уха","Федеральное государственное бюджетное учреждение ""Санкт-Петербургский научно-исследовательский институт уха, горла, носа и речи"" Министерства здравоохранения и социального развития Российской Федерации","healthcare","Медицина","high","Предмет связан с врачебными решениями и анализом КТ-изображений для медицинского института.","","false","codex-session","manual_llm","2026-05-29T00:00:00.000Z"
"0373200082126000210","94546269","Оказание услуг по разметке 3D объектов с видеокамер и датчиков компьютерного зрения (лидары) с целью обучения нейросетей","Государственное бюджетное учреждение города Москвы ""Музей ретро-автомобилей""","culture_sport","Культура / спорт / туризм","medium","Заказчик является музеем, но предмет разметки 3D/лидарных данных может иметь смежный транспортный контекст.","transport_logistics","true","codex-session","manual_llm","2026-05-29T00:00:00.000Z"
"94517974","94517974","Право заключения договора на оказание услуг по реализации решения «системы искусственного интеллекта по распознаванию результатов металлографического контроля на АО ЧМЗ»","Росатом","industry_energy","Промышленность / энергетика","high","Решение применяется для металлографического контроля на предприятии Росатома.","","false","codex-session","manual_llm","2026-05-29T00:00:00.000Z"
"32616037287","94509926","Приобретение права на использование в виде простой (неисключительной) лицензии на внедрённый программный комплекс «Робот Диспетчер ЖКХ» для автоматизации обработки обращений жителей и услуги круглосуточной технической поддержки в соответствии с SLA","ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ РЕСПУБЛИКИ БАШКОРТОСТАН ""УФАВОДОКАНАЛ""","utilities","ЖКХ / коммунальная инфраструктура","high","Уфаводоканал закупает робота для обработки обращений жителей в ЖКХ-контексте.","public_admin","false","codex-session","manual_llm","2026-05-29T00:00:00.000Z"
"811500001126000023","","Модернизация Единой информационной системы по учету и управлению государственным и муниципальным имуществом Республики Татарстан","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЦИФРОВОЙ ТРАНСФОРМАЦИИ РЕСПУБЛИКИ ТАТАРСТАН""","public_admin","Госуправление","high","Система предназначена для учета и управления государственным и муниципальным имуществом региона.","","false","codex-session","manual_llm","2026-05-29T00:00:00.000Z"
"32616035986","94498226","Оказание услуг по предоставлению доступа к базе данных резюме с возможностью просмотра контактной информации соискателя с использованием API и публикациями вакансий","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""СИБИРСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ТЕЛЕКОММУНИКАЦИЙ И ИНФОРМАТИКИ""","education_science","Образование / наука","medium","Заказчик является вузом, хотя сама закупка относится к HR-доступу и вакансиям.","it_internal","true","codex-session","manual_llm","2026-05-29T00:00:00.000Z"
"32616037977","94511066","Поставка медицинских изделий с принадлежностями для нужд Центра, ввод в эксплуатацию медицинских изделий, обучение правилам эксплуатации специалистов, эксплуатирующих медицинские изделия, и специалистов, осуществляющих техническое обслуживание медицинских изделий","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""НАЦИОНАЛЬНЫЙ МЕДИЦИНСКИЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ЗДОРОВЬЯ ДЕТЕЙ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ","healthcare","Медицина","high","Закупаются медицинские изделия для национального медицинского исследовательского центра.","","false","codex-session","manual_llm","2026-05-29T00:00:00.000Z"
"0848300045426000402","94506847","Оказание услуг по сбору, обработке, контент-анализу информации и сопровождению модулей информационно-аналитической системы с использованием технологий искусственного интеллекта для нужд МКУ «Муниципальный центр управления регионом Одинцовского городского округа Московской области» в 2026 году (второе полугодие)","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР МУНИЦИПАЛЬНЫХ ЗАКУПОК ОДИНЦОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ""","public_admin","Госуправление","high","Информационно-аналитическая система используется муниципальным центром управления регионом.","","false","codex-session","manual_llm","2026-05-29T00:00:00.000Z"
"0345100003326000071","94511664","Поставка оборудования для системы телевизионного наблюдения (СТН)","Учреждение Российской академии наук Петербургский институт ядерной физики им.Б.П.Константинова РАН","security","Безопасность","high","Предмет закупки — оборудование для системы телевизионного наблюдения.","education_science","false","codex-session","manual_llm","2026-05-29T00:00:00.000Z"
"32616036607","94506186","Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на выполнение работ по развитию и сопровождению роботизированных процессов на базе платформы PIX в 2026-2029 годах","АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""","utilities","ЖКХ / коммунальная инфраструктура","high","Заказчик Мосводоканал, работы по роботизации процессов коммунальной организации.","it_internal","false","codex-session","manual_llm","2026-05-29T00:00:00.000Z"
