hypothesis_id,hypothesis_title,tender_id,tenderguru_id,date,tender_name,customer,region,price,fz,queries,sources,max_query_total,tender_link,tenderguru_link,search_fragment
"citizen-appeals-ai","AI-диспетчер обращений граждан","173100007826000015","84228101","27-05-2026","Выполнение работ по развитию автоматизированных информационных систем ФНС России (шестая очередь)","ФЕДЕРАЛЬНАЯ НАЛОГОВАЯ СЛУЖБА","Москва","1214044200","","обращения граждан; обработка обращений; классификация обращений; единая система обращений; служба 122","documentation","6474","","https://www.tenderguru.ru/tender/84228101",""""""
"citizen-appeals-ai","AI-диспетчер обращений граждан","348200081026003158","84313238","27-05-2026","Развитие (модернизация) подсистемы «Управление ресурсным обеспечением» государственной информационной системы «Единая медицинская информационно-аналитическая система Московской области» в 2026-2027 годах","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ЕДИНОГО ЗАКАЗЧИКА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ""","Московская область","71117523","","обращения граждан; обработка обращений; классификация обращений; единая система обращений; служба 122","documentation","6474","","https://www.tenderguru.ru/tender/84313238",""""""
"citizen-appeals-ai","AI-диспетчер обращений граждан","348200081026003181","84313202","27-05-2026","Оказание услуг по сопровождению подсистемы «Телекоммуникационная подсистема» государственной информационной системы «Единая медицинская информационно-аналитическая система Московской области» в 2026-2027 годах","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ МОСКОВСКОЙ ОБЛАСТИ ""ДИРЕКЦИЯ ЕДИНОГО ЗАКАЗЧИКА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ МОСКОВСКОЙ ОБЛАСТИ""","Московская область","67686027","","обращения граждан; обработка обращений; классификация обращений; единая система обращений; служба 122","documentation","6474","","https://www.tenderguru.ru/tender/84313202",""""""
"citizen-appeals-ai","AI-диспетчер обращений граждан","274100000226000051","84269898","27-05-2026","Поставка телефонных устройств с функцией невизуальной навигации для граждан г. Севастополя в целях их социального обеспечения в 2026 году","ОТДЕЛЕНИЕ ФОНДА ПЕНСИОННОГО И СОЦИАЛЬНОГО СТРАХОВАНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО Г. СЕВАСТОПОЛЮ","Байконур","544999","","обращения граждан; обработка обращений; классификация обращений; единая система обращений","documentation","6474","","https://www.tenderguru.ru/tender/84269898",""""""
"citizen-appeals-ai","AI-диспетчер обращений граждан","32616021012","94404883","19-05-2026","Поставка оборудования и комплектующих в рамках выполнения работ по поддержке и обслуживанию ведомственного сегмента Минцифры России государственной системы изготовления, оформления и контроля паспортно-визовых документов нового поколения государственной системы миграционного и регистрационного учета, а также изготовления, оформления и контроля обращения документов, удостоверяющих личность","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ""ВОСХОД""","Москва","9999912","223","обработка обращений; классификация обращений; единая система обращений","search","345","http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32616021012","https://www.tenderguru.ru/tender/94404883","{""fragment"":[""...оформления и контроля обращения документов ...комплексы для обработки и хранения больших..."",""Поставка оборудования и комплектующих в рамках выполнения работ по поддержке и обслуживанию ...""]}"
"citizen-appeals-ai","AI-диспетчер обращений граждан","32616053494","84316848","27-05-2026","Поставка оборудования для реконструкции системы бесперебойного питания узла связи (334/2026) (МСП)","АКЦИОНЕРНОЕ ОБЩЕСТВО ""СИБИРСКО-УРАЛЬСКАЯ ЭНЕРГЕТИЧЕСКАЯ КОМПАНИЯ""","Тюменская область","3202090","","обращения граждан; обработка обращений; единая система обращений","documentation","6454","","https://www.tenderguru.ru/tender/84316848",""""""
"citizen-appeals-ai","AI-диспетчер обращений граждан","32616035494","84318054","27-05-2026","№ 100 оказание услуг по сопровождению и технической поддержке информационной системы «Система сервисной поддержки пользователей» для нужд АУ ""ЦЦТ УР""","АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГЕНТСТВО ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ РЕСПУБЛИКИ ТАТАРСТАН""","Татарстан","2092190","","обработка обращений; классификация обращений; единая система обращений","documentation","6454","","https://www.tenderguru.ru/tender/84318054",""""""
"citizen-appeals-ai","AI-диспетчер обращений граждан","32616055340","94629292","28-05-2026","Оказание комплекса услуг по внедрению и сопровождению системы автоматизации обработки входящих обращений пациентов с использованием голосового робота для ГАУ РС (Я) «ЯРОКБ»: в том числе, передачу прав на основании простой неисключительной лицензии на специализированное программное обеспечение","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""ЯКУТСКАЯ РЕСПУБЛИКАНСКАЯ ОФТАЛЬМОЛОГИЧЕСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""","Саха (Якутия)","1252400","223","обработка обращений; классификация обращений; единая система обращений","search","345","http://zakupki.gov.ru/223/purchase/public/purchase/info/common-info.html?regNumber=32616055340","https://www.tenderguru.ru/tender/94629292","{""fragment"":[""... и сопровождению системы автоматизации обработки входящих обращений пациентов с использованием..."",""... и сопровождению системы автоматизации обработки входящих обращений пациентов с использованием...""]}"
"citizen-appeals-ai","AI-диспетчер обращений граждан","375200035726000218","84315549","27-05-2026","Поставка медицинского оборудования «Мультичастотный внутриполостной датчик для аппарата УЗИ AcclarixAX8, имеющегося у заказчика»","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КРЫМ ""ПЕРВОМАЙСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""","Севастополь","626350","","обращения граждан; обработка обращений; единая система обращений","documentation","6474","","https://www.tenderguru.ru/tender/84315549",""""""
"citizen-appeals-ai","AI-диспетчер обращений граждан","817200000326008171","84271323","28-05-2026","Услуги по подготовке и размещению информационных материалов в печатном средстве массовой информации, территорией распространения которого является муниципальный округ Кулундинский район Алтайского края","КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""","Алтайский край","600000","","обращения граждан; обработка обращений; единая система обращений","documentation","6474","","https://www.tenderguru.ru/tender/84271323",""""""
